SPECIES,COUNT
MALUS 'REDBUD',25
ACER RUBRUM ARMSTRONG,64
LIRIODENDRON TULIPIFERA,324
LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',121
METASEQUOIA GLYPTOSTROBOIDES,36
CLADASTRIS KENTUCKEA,256
ACER RUBRUM 'RED SUNSET',16
PLATANUS ACERIFOLIA,3721
GLEDITSIA TRIACANTHOS,5776
PRYUS CHANTICLEAR,1
ULMUS AMERICANA,7056
PLATANUS OCCIDENTALIS,64
CELIS OCCIDENTALIS,4
GYMNOCLADUS DIOICUS,289
ACER RUBRUM,1521
QUERCUS RUBRA,729
TILIA TOMENTOSA,169
QUERCUS BICOLOR,324
STYPHNOLOBIUM JAPONICUM,9
BETULA NIGRA,441
GLEDITSIA INERMIS,64
PRUNUS SARGENTII,49
ACER FREEMANII 'ARMSTRONG',441
AESCULUS CARNEA 'BRIOTII',25
GINKGO BILOBA,196
TAXODIUM DISTICHUM,196
CARPINUS BETULUS FASTIGIATA,1
OXYDENDRUM ARBOREUM,4
SYRINGA RETICULATA,2025
JUNIPERUS VIRGINIANA,1
LIQUIDAMBAR STYRACIFLUA,1089
CORYLUS COLURNA,16
CERCIS CANADENSIS,64
CORNUS RUTGERS HYBRID,64
ZELKOVA SERRATA,81
TILIA CORDATA,16
QUERCUS PALUSTRIS FASTIGIATE,4
ACER FREEMANII ,16
CELTIS OCCIDENTALIS,225
CORNUS KOUSA (RUTGERS STELLAR PINK),25
FAGUS GRANDIFOLIA,4
GLEDITSIA TRIACANTHOS v. INERMIS,400
NYSSA SYLVATICA,64
QUERCUS PALUSTRIS,196
TILIA AMERICANA,361
PRUNUS x YEDOENSIS,4
PARROTIA PERSICA,36
PRUNUS SARGENTII FASTIGIATA,4
QUERCUS COCCINEA,9
STYRAX JAPNICUS ,9
PRUNUS CERASIFERA KV,16
CRATAEGUS (THORNLESS),1
OSTRYA VIRGINIANA,4
TAXODIUM,9
"CERCIS CANADENSIS ""MINNESOTA""",1
MAACKIA AMURENSIS,361
PRUNUS YEDOENSIS,4
AMELANCHIER LAEVIS,16
ACER FREEMANII FASTIGIATA,4
METASEQUOIA G.,1
BETULA NIGRA 'DURAHEAT' SINGLE STEM,4
CARPINUS CAROLINIANA,1
QUERCUS BICOLOR 'FASTIGIA',36
ZELOKOVA SERRATA 'MUSASHINO',81
ACER CAMPESTRE,9
NYSSA SYLVATICA 'WILDFIRE',1
CERCIS CANADENSIS 'MINNESOTA',4
SYRINGA RETICULATA 'IVORY SILK',9
LIQUIDAMBAR STYRACIFLUA 'MORAINE',4
BETULA NIGRA (MULTISTEM),9
ZELKOVA SERRATA 'MUSASHINO',4
AMELANCHIER x GRANDIFLORA,1
PLATANUS ACERIFOLIA 'BLOODGOD',1
PRUNUS SARGENTII 'FASTIGIATA',4
TILIA AMERICANA 'REDMOND',1
AMELANCHIER LAEVIS 'CUMULUS',1
AMELANCHIER GRANDIFLORA,4
MACLURA POMIFERA 'WHITE SHIELD',16
ACER RUBRUM 'OCTOBER GLORY',4
QUERCUS PALUSTRIS 'REGAL PRINCE',1
ULMUS AMERICANA 'PATRIOT',9
ACER TARTARICUM,4
GLEDITSIA TRIACANTHOS 'STREETKEEPER',289
PRUNUS CERASIFERA,1
MALUS SYLVESTRIS 'ADIRONDACK',196
AMELANCHIER,100
MALUS 'PRAIRIE FIRE',36
HAMAMELIS VERNALIS,225
QUERCUS ALBA,16
